month_year,type_of_offence,count_category,count
2011-05-01,Mobile phone offences,Offences,770.0
2011-05-01,Officer-issued red light,Fines,150600.0
2011-05-01,Officer-issued red light,Offences,1006.0
2011-05-01,Restraints,Fines,613650.0
2011-05-01,Restraints,Offences,4091.0
2011-06-01,Alcohol specific offences,Fines,0.0
2011-06-01,Alcohol specific offences,Offences,2656.0
2011-06-01,Camera-issued speed offences,Fines,3497160.0
2011-06-01,Camera-issued speed offences,Offences,48982.0
2011-06-01,Drug specific offences,Offences,28.0
2011-06-01,Mobile phone offences,Fines,58880.0
2011-06-01,Mobile phone offences,Offences,736.0
2011-06-01,Officer-issued red light,Fines,151650.0
2011-06-01,Officer-issued red light,Offences,1011.0
2011-06-01,Restraints,Fines,558e3
2011-06-01,Restraints,Offences,3720.0
2011-07-01,Alcohol specific offences,Fines,0.0
2011-07-01,Alcohol specific offences,Offences,2602.0
2011-07-01,Camera-issued speed offences,Fines,3385090.0
2011-07-01,Camera-issued speed offences,Offences,38784.0
2011-07-01,Drug specific offences,Offences,24.0
2011-07-01,Mobile phone offences,Fines,57840.0
2011-07-01,Mobile phone offences,Offences,723.0
2011-07-01,Officer-issued red light,Fines,156e3
2011-07-01,Officer-issued red light,Offences,1040.0
2011-07-01,Restraints,Fines,640350.0
2011-07-01,Restraints,Offences,4269.0
2011-08-01,Alcohol specific offences,Fines,18e3
2011-08-01,Alcohol specific offences,Offences,2480.0
2011-08-01,Camera-issued speed offences,Fines,4791610.0
2011-08-01,Camera-issued speed offences,Offences,57854.0
2011-08-01,Drug specific offences,Offences,18.0
2011-08-01,Mobile phone offences,Fines,79280.0
2011-08-01,Mobile phone offences,Offences,991.0
2011-08-01,Officer-issued red light,Fines,167550.0
2011-08-01,Officer-issued red light,Offences,1117.0
2011-08-01,Restraints,Fines,763650.0
2011-08-01,Restraints,Offences,5091.0
2011-09-01,Alcohol specific offences,Fines,25800.0
2011-09-01,Alcohol specific offences,Offences,2670.0
2011-09-01,Camera-issued speed offences,Fines,4379350.0
2011-09-01,Camera-issued speed offences,Offences,52727.0
2011-09-01,Drug specific offences,Offences,15.0
2011-09-01,Mobile phone offences,Fines,78560.0
2011-09-01,Mobile phone offences,Offences,982.0
2011-09-01,Officer-issued red light,Fines,146850.0
2011-09-01,Officer-issued red light,Offences,979.0
2011-09-01,Restraints,Fines,833400.0
2011-09-01,Restraints,Offences,5556.0
2011-10-01,Alcohol specific offences,Fines,25600.0
2011-10-01,Alcohol specific offences,Offences,2710.0
2011-10-01,Camera-issued speed offences,Fines,4695340.0
2011-10-01,Camera-issued speed offences,Offences,60935.0
2011-10-01,Drug specific offences,Offences,19.0
2011-10-01,Mobile phone offences,Fines,87120.0
2011-10-01,Mobile phone offences,Offences,1089.0
2011-10-01,Officer-issued red light,Fines,141750.0
2011-10-01,Officer-issued red light,Offences,945.0
2011-10-01,Restraints,Fines,883050.0
2011-10-01,Restraints,Offences,5887.0
2011-11-01,Alcohol specific offences,Fines,18800.0
2011-11-01,Alcohol specific offences,Offences,2240.0
2011-11-01,Camera-issued speed offences,Fines,4093770.0
2011-11-01,Camera-issued speed offences,Offences,48647.0
2011-11-01,Drug specific offences,Offences,23.0
2011-11-01,Mobile phone offences,Fines,102800.0
2011-11-01,Mobile phone offences,Offences,1286.0
2011-11-01,Officer-issued red light,Fines,129150.0
2011-11-01,Officer-issued red light,Offences,861.0
2011-11-01,Restraints,Fines,918900.0
2011-11-01,Restraints,Offences,6126.0
2011-12-01,Alcohol specific offences,Fines,27600.0
2011-12-01,Alcohol specific offences,Offences,2948.0
2011-12-01,Camera-issued speed offences,Fines,4599040.0
2011-12-01,Camera-issued speed offences,Offences,65952.0
2011-12-01,Drug specific offences,Offences,19.0
2011-12-01,Mobile phone offences,Fines,76160.0
2011-12-01,Mobile phone offences,Offences,952.0
2011-12-01,Officer-issued red light,Fines,130200.0
2011-12-01,Officer-issued red light,Offences,868.0
2011-12-01,Restraints,Fines,779550.0
2011-12-01,Restraints,Offences,5198.0
2012-01-01,Alcohol specific offences,Fines,20400.0
2012-01-01,Alcohol specific offences,Offences,2069.0
2012-01-01,Camera-issued speed offences,Fines,3971130.0
2012-01-01,Camera-issued speed offences,Offences,45532.0
2012-01-01,Drug specific offences,Offences,18.0
2012-01-01,Mobile phone offences,Fines,69600.0
2012-01-01,Mobile phone offences,Offences,870.0
2012-01-01,Officer-issued red light,Fines,132300.0
2012-01-01,Officer-issued red light,Offences,882.0
2012-01-01,Restraints,Fines,762750.0
2012-01-01,Restraints,Offences,5085.0
2012-02-01,Alcohol specific offences,Fines,17400.0
2012-02-01,Alcohol specific offences,Offences,1996.0
2012-02-01,Camera-issued speed offences,Fines,5320190.0
2012-02-01,Camera-issued speed offences,Offences,114907.0
2012-02-01,Drug specific offences,Offences,16.0
2012-02-01,Mobile phone offences,Fines,77840.0
2012-02-01,Mobile phone offences,Offences,973.0
2012-02-01,Officer-issued red light,Fines,139500.0
2012-02-01,Officer-issued red light,Offences,931.0
2012-02-01,Restraints,Fines,691500.0
2012-02-01,Restraints,Offences,4610.0
2012-03-01,Alcohol specific offences,Fines,17200.0
